timesteps,temperature_threshold,humidity_threshold,moisture_threshold,euclidian_threshold
0,0.1265869590640068,0.07976765044033517,0.21558387815952254,0.22378902956843344
1,0.0914675921201705,0.05927608251571639,0.16582202464342094,0.19713534474372812
2,0.08730835206806645,0.0449445754289627,0.20905182331800448,0.21682632029056542
3,0.1145799821615219,0.053006593286991054,0.18941688686609226,0.24328547298908193
4,0.13666034430265406,0.08305865257978422,0.2011405724287032,0.2594415965676306
5,0.1779278108477592,0.1028757230937478,0.20936398059129702,0.24316310361027688
6,0.1736980006098746,0.09519158184528351,0.23744035243988,0.32120824635028766
7,0.22763925164937937,0.0986070811748503,0.20692386388778633,0.32870321780443185
8,0.2137830424308772,0.13365058839321128,0.2349501597881317,0.3999839121103269
9,0.2806582698225973,0.14106156408786774,0.27886862516403027,0.4211992460489271
10,0.25360040470957745,0.15552434563636766,0.22034238368272768,0.31855164796113916
11,0.3653326886892314,0.19888156533241258,0.20163882315158788,0.4075665232539175
12,0.45898003995418535,0.22462808817624966,0.24512120544910415,0.47898319900035824
13,0.24185964852571482,0.13179257810115808,0.27145140677690366,0.3124384680390357
14,0.26782889664173093,0.11652521789073939,0.20819101512432098,0.2977970793843269
15,0.21535129636526074,0.12065768510103224,0.16338399469852424,0.2602771565318106
16,0.16409490585327133,0.11627775423228737,0.15094519138336154,0.21909898564219432
17,0.15962459444999688,0.11288474559783936,0.1335960960388182,0.20617853611707668
18,0.16646268129348718,0.13101157367229452,0.19329979062080335,0.2356903269886969
19,0.14147701293230042,0.1050652384757994,0.14557100504636739,0.1862928137183188
20,0.17591523826122213,0.07146865010261534,0.17001857042312607,0.20310084000229828
21,0.11424399137496943,0.06035712674260137,0.16111872196197485,0.18882058963179574
22,0.13995412170886984,0.06800662994384755,0.18657361149787893,0.18827593013644217
23,0.1521216657757755,0.08318822637200354,0.19815368056297297,0.2195956446230411
